Product title,Rating,Number of customer reviews,Product URL,Image URL,ASIN
"",5.0,2,https://www.amazon.com/generic-Goophone-OctaCore-Factory-Unlocked/dp/B07PV77YJ8,https://m.media-amazon.com/images/I/71sQ7s56H5L.jpg,B07PV77YJ8
"",,,https://www.amazon.com/Apple-iPhone-T-Mobile-256GB-Renewed/dp/B07RV2WQBM,https://m.media-amazon.com/images/I/71yMgOenT5L.jpg,B07RV2WQBM
"",,,https://www.amazon.com/Apple-iPhone-Boost-Mobile-64GB/dp/B07RV3QPB9,https://m.media-amazon.com/images/I/51V8ObWrpKL.jpg,B07RV3QPB9
"",,,https://www.amazon.com/Apple-iPhone-XR-AT-64GB/dp/B07T1KTPSB,https://m.media-amazon.com/images/I/51LgEWJZ2CL.jpg,B07T1KTPSB
"",3.9,62,https://www.amazon.com/Apple-iPhone-Plus-Unlocked-128GB/dp/B07SNW1ZHZ,https://m.media-amazon.com/images/I/71GEaD9axKL.jpg,B07SNW1ZHZ
"",,,https://www.amazon.com/Apple-iPhone-XR-Verizon-64GB/dp/B07TNDW5M5,https://m.media-amazon.com/images/I/61yaCU09djL.jpg,B07TNDW5M5
"",5.0,1,https://www.amazon.com/Apple-iPhone-XR-AT-64GB/dp/B07T1L2SBK,https://m.media-amazon.com/images/I/51wzC34azRL.jpg,B07T1L2SBK
"",,,https://www.amazon.com/Apple-iPhone-XR-T-Mobile-64GB/dp/B07THMCX5C,https://m.media-amazon.com/images/I/515J3bn6YdL.jpg,B07THMCX5C
"",,,https://www.amazon.com/Apple-iPhone-T-Mobile-64GB-Renewed/dp/B07RW4QQRR,https://m.media-amazon.com/images/I/71yMgOenT5L.jpg,B07RW4QQRR
"",,,https://www.amazon.com/Apple-iPhone-XR-AT-256GB/dp/B07T2MW8BP,https://m.media-amazon.com/images/I/51wzC34azRL.jpg,B07T2MW8BP
"",,,https://www.amazon.com/Apple-iPhone-XR-T-Mobile-64GB/dp/B07TJ3GL6S,https://m.media-amazon.com/images/I/51LgEWJZ2CL.jpg,B07TJ3GL6S
"",3.0,6,https://www.amazon.com/Apple-iPhone-Unlocked-Warranty-Refurbished/dp/B07Q4LWRZP,https://m.media-amazon.com/images/I/61uhjfHciaL.jpg,B07Q4LWRZP
"",5.0,2,https://www.amazon.com/generic-Goophone-8-Core-Factory-Unlocked/dp/B07NK9BM8R,https://m.media-amazon.com/images/I/41UHbET6N7L.jpg,B07NK9BM8R
"",,,https://www.amazon.com/Apple-iPhone-XR-Verizon-64GB/dp/B07THNPCC9,https://m.media-amazon.com/images/I/71O8e8UGKEL.jpg,B07THNPCC9
